feature,weight,sign
feeling,1.4573959212730268,positive
effective,1.3378561259824417,positive
cleared,1.3225768833602087,positive
dryness,1.2684644241870242,positive
became,1.045532809186959,positive
little,1.0240901992701155,positive
often,1.0111801665165185,positive
improved,0.9978462284614996,positive
social,0.9887564649927346,positive
daily,0.9874757895069227,positive
needed,0.9726115322507862,positive
infections,0.9725705440551193,positive
discomfort,0.9697357900166854,positive
pressure,0.9646530971124392,positive
night,0.9506698989401564,positive
if,0.9391566072024256,positive
nerve,0.9075732509867518,positive
high,0.9003746068974501,positive
eat,0.8848442225510577,positive
elavil,0.8673618562958254,positive
use,0.841290792180436,positive
yeast infections,0.8250321043900815,positive
like,0.8080358984578503,positive
didn,0.7940855658882826,positive
used,0.7888836716466594,positive
heartburn,0.7784134647259705,positive
not,0.7745176703810611,positive
prevacid,0.7685453346589666,positive
yeast,0.757781336085362,positive
initial,0.7523361801357419,positive
and,-1.9974508854616264,negative
my,-1.5451498486288675,negative
benefits,-1.5288700327588263,negative
doctor,-1.2914441543326163,negative
body,-1.163629624243954,negative
took,-1.1240933859820912,negative
horrible,-1.1085158186087545,negative
pain,-1.0972004293178448,negative
none,-1.044518305139602,negative
severe,-0.9953826388777072,negative
experienced,-0.9901169041308763,negative
experience,-0.9509151126656074,negative
now,-0.9446638023770877,negative
read,-0.9411385614226719,negative
anything,-0.9305442261941291,negative
vomiting,-0.8796250244066826,negative
problems,-0.8704222324783901,negative
benefit,-0.8550887916652692,negative
experiencing,-0.8270718205126847,negative
was,-0.8112610329298436,negative
caused,-0.7972399439545402,negative
worse,-0.7734498208819902,negative
tiredness,-0.7719096119504666,negative
never,-0.7584734080754861,negative
told,-0.7584472202454828,negative
upper,-0.75574054687539,negative
gave,-0.7538871657784483,negative
depression,-0.7495213584629822,negative
terrible,-0.7478938064180616,negative
insomnia,-0.7296603343660376,negative
